,,,,,,
,253,Mitchell Robinson,"143,159",,,
,254,Theo Pinson,"141,900",,,
,255,Scottie Lewis,"139,834",,,
,256,Neemias Queta,"137,215",,,
,257,Ochai Agbaji,"136,887",,,
,258,Jalen Duren,"136,407",,,
,259,Nicolas Claxton,"135,708",,,
,260,Raulzinho Neto,"135,182",,,
,261,Jalen Johnson,"131,412",,,
,262,Vernon Carey Jr.,"131,179",,,
,263,Isaiah Todd,"130,248",,,
,264,Nikola Jovic,"130,215",,,
,265,Nickeil Alexander-Walker,"128,721",,,
,266,Marquese Chriss,"127,656",,,
,267,Cam Thomas,"126,416",,,
,268,Stanley Johnson,"125,260",,,
,269,Patrick Williams,"125,086",,,
,270,James Bouknight,"124,908",,,
,271,Chandler Hutchison,"124,324",,,
,272,T.J. McConnell,"124,228",,,
,273,Jarred Vanderbilt,"123,119",,,
,274,Delon Wright,"122,600",,,
,275,Isaiah Stewart II,"121,704",,,
,276,Nik Stauskas,"121,524",,,
,277,Luka Garza,"120,491",,,
,278,Svi Mykhailiuk,"118,779",,,
,279,Maxi Kleber,"117,276",,,
,280,A.J. Griffin Jr.,"116,021",,,
,281,Isaiah Jackson,"115,560",,,
,282,Darius Bazley,"111,662",,,
,283,Franz Wagner,"111,081",,,
,284,Landry Shamet,"110,828",,,
,285,Brandon Clarke,"108,486",,,
,286,Semi Ojeleye,"107,013",,,
,287,T.J. Warren,"106,880",,,
,288,Jeremy Lamb,"106,647",,,
,289,Kawhi Leonard,"106,622",,,
,290,Kennedy Chandler,"106,432",,,
,291,Christian Braun,"105,313",,,
,292,Jevon Carter,"105,252",,,
,293,Georges Niang,"105,055",,,
,294,Thomas Bryant,"105,051",,,
,295,Troy Brown Jr.,"104,354",,,
,296,Wayne Ellington,"103,779",,,
,297,Torrey Craig,"103,191",,,
,298,Kai Jones,"101,674",,,
,299,Tomas Satoransky,"101,597",,,
,300,Dario Saric,"101,324",,,
,301,Tony Bradley,"101,047",,,
,302,Jarrett Culver,"100,971",,,
,303,Dwight Powell,"100,873",,,
,304,Frank Jackson,"100,605",,,
,305,Lester Quinones,"99,557",,,
,306,Kris Dunn,"98,165",,,
,307,Sekou Doumbouya,"96,907",,,
,308,Bruce Brown Jr.,"96,844",,,
,309,Jordan Nwora,"96,570",,,
,310,De'Andre Hunter,"95,504",,,
,311,TyTy Washington Jr.,"94,754",,,
,312,Zach Collins,"94,505",,,
,313,Yogi Ferrell,"94,059",,,
,314,Max Christie,"93,694",,,
,315,Nick Richards,"93,630",,,
,316,Dyson Daniels,"91,862",,,
,317,Leandro Bolmaro,"90,801",,,
,318,Wendell Moore Jr.,"90,307",,,
,319,Maurice Harkless,"89,514",,,
,320,Davis Bertans,"88,190",,,
,321,Damian Jones,"86,334",,,
,322,Caleb Martin,"84,364",,,
,323,Moses Brown,"83,934",,,
,324,Derrick Favors,"83,603",,,
